Position,min,max
60,200,900
59,300,900
58,300,900
57,300,900
56,300,900
55,300,900
54,300,900
53,300,900
52,300,900
51,300,900
50,300,900
49,300,900
48,300,900
47,300,900
46,300,900
45,300,900
44,300,900
43,300,900
42,300,900
41,300,900
40,300,900
39,300,800
38,300,900
37,300,900
36,300,900
35,300,900
34,300,900
33,300,900
32,300,900
31,300,900
30,400,900
29,300,800
28,300,900
27,400,900
26,400,900
25,400,900
24,400,900
23,400,900
22,400,800
21,400,900
20,400,900
19,500,800
18,500,800
17,500,800
16,500,800
15,600,800
14,600,800
13,600,700
12,600,700
11,700,700
10,10000,-1
9,10000,-1
8,10000,-1
7,700,700
6,700,700
5,700,700
4,700,700
3,700,700
2,700,700
1,700,700
